Year,State,Poverty,Cases,Annual_income,Demograph,CO,O3,PM2.5
2012,Maine,14.4,950,46856,1328094,0.2335,0.040657895,8.336535806
2012,Maryland,10.4,8488,71169,5888375,0.1806,0.0508875,8.624806202
2012,Massachusetts,11.9,8852,65378,6664269,0.278166667,0.045558824,7.610526316
2012,Michigan,17.4,13613,46793,9898289,0.225,0.048383333,7.95399061
2012,Minnesota,11.4,3754,58828,5377500,0.062166667,0.042107143,6.81625
2012,Missouri,16.2,7240,45320,6026027,0.2,0.051434783,10.02444444
2012,New Hampshire,9.7,953,63157,1324677,0.291625,0.043729167,6.104494382
2012,New Jersey,10.7,14918,69705,8845671,0.377,0.046808824,8.416666667
2012,New Mexico,20.6,1812,42828,2087715,0.252375,0.048798077,6.863636364
2012,New York,15.9,36592,56357,19574362,0.2685,0.042782895,7.586363636
2012,Oregon,17,1934,49090,3900102,0.212833333,0.0408,6.198412698
